127.0.0.1 - - [22/Oct/2022:14:52:52 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Oct/2022:14:52:55 +0530] "GET /project_3/ HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:23:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:23:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:27:09 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:27:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:04 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:08 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:28:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:29:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:29:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:30:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:30:55 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7211
0:0:0:0:0:0:0:1 - - [22/Oct/2022:15:31:36 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
