127.0.0.1 - - [02/Nov/2022:11:47:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:47:29 +0530] "GET /project_3/ HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:47:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:47:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:47:51 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:48:06 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:48:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9885
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:48:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:48:11 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:49:57 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:49:59 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:50:00 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:50:07 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13612
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:50:18 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:52:14 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18104
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:52:23 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18104
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:52:37 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:53:03 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18194
0:0:0:0:0:0:0:1 - - [02/Nov/2022:11:53:52 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18214
0:0:0:0:0:0:0:1 - - [02/Nov/2022:12:59:00 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7417
0:0:0:0:0:0:0:1 - - [02/Nov/2022:12:59:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [02/Nov/2022:12:59:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Nov/2022:13:32:57 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
0:0:0:0:0:0:0:1 - - [02/Nov/2022:14:32:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [02/Nov/2022:14:32:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Nov/2022:14:33:42 +0530] "GET /project_3/ HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Nov/2022:15:17:47 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [02/Nov/2022:15:17:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/Nov/2022:15:17:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7202
